Summeringsnivå 1;Summeringsnivå 2;Summeringsnivå 3;Arbetsplatskod;Arbetsplatsens namn
HSN 22 Västra;Taxeläkare, allmänmed;Allmänmedicin;14707012510;Boris Cvetkovski, 2510
HSN 22 Västra;Taxeläkare, allmänmed;Allmänmedicin;14707019999;HSN7 ej använda koder
HSN 22 Västra;Taxeläkare, övriga spec;Gynekologi;14707072541;Styrbjörn Molund, 2541
HSN 22 Västra;Taxeläkare, övriga spec;Invärtesmedicin;14704000000;Nämnd 4, Internmedicinsk vård
HSN 22 Västra;Taxeläkare, övriga spec;Ortopedi;14707112535;Tore Linder, 2535
HSN 22 Västra;Taxeläkare, övriga spec;Psykiatri;14707082543;Per-Axel Neverland
HSN 22 Västra;Taxeläkare, övriga spec;Urologi;14707180000;Nämnd 7 , Urologisk vård
HSN 22 Västra;Taxeläkare, övriga spec;Ögon;14707090000;Nämnd 7,Ögonsjukdomar
HSN 22 Västra;Taxeläkare, övriga spec;Öron- näs och hals;14707012032;Bo Edvaller, 2032
HSN 22 Västra;Taxeläkare, övriga spec;Öron- näs och hals;14707100000;Nämnd 7,Öron.näs-och halssjukvård
HSN 22 Västra;Taxeläkare, övriga spec;Öron- näs och hals;14707102032;Broplatsen 2032
HSN 22 Västra;Övriga privata vårdgivare;Barnmorska;14031407;Nämndomr 7, Barnmorska, privat
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14389104;Nämndomr 4, helprivat läkare(inkoms
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910401;Åke Rydenhag Konsult AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910402;Staby Övergård AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910405;Ögonspegeln
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910406;Läkarhuset i Stenungsund/ Sven-Olov
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910407;Öckerö Läkarkonsult / Eva Szarka
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910408;BEMIL Hälsosjukvårdstjänst, Bo Ande
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910409;Doc. Lars Belin - privatmottagning
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910410;Saltskärs Sjuk_Friskvård / Halldora
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910412;Elias Consulting AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910413;Tjörns Huvudvärksklinik
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910420;Attendo Stationsgatan
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14389105154;AB Medicin
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910602;Christin Oswald, Psykiatri
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910603;Mjörnviksholms sjukhem
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910606;Kerstin Konnebäck
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910608;Birgitta Lindblad Svedernahälsan
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910609;Mandometerkliniken, AB Mando
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910610;Rylander medicinkonsult AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910611;Frösunda Omsorg AB - Kaptenen
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910612;Frösunda Omsorg AB - Ängabogården
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14389107;Privata läkare fd HSN7 (inkomst)
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910701;Stensjöns friskvård
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910702;Medeko AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910703;Gastro Medico Dr Madsen AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910704;Medesign HB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910705;Brohälsan
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910708;Ekenhälsan AB, Esmeralda
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910709;Mölnlycke ögonmottagning
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910710;Ackerot Vårdkonsult
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910711;TVL Medipsyk
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910712;KOMH MEDICO
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910713;Nordensken Healt Care
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910714;F Berne Invest AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910715;Novartis Sverige AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910717;Otima Private Care
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910718;Scandinavian Nord Clinic
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910719;ZIB Medicare
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910720;Ljungkullens vårdboende
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910721;HADEV Radiology _ MRI AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910722;Medica Sweden Health Invest AB/Mich
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910723;Larssons Praktikertjänst HB/Lars La
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910724;Philippe Bergstrand/ Exegi Medica H
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910725;Amanda Invest AB / Patrik Cikota
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910726;Hans Thalén
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910727;Detvå
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438910728;Gottfries Clinic AB
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14389107727;Fässbergs Äldreboende
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438920619;Otto Westphal
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438930325;Eva Kärnsby
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438930604;Åse Zethelius
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;1438930901;Bräcke Diakoni, Kurhälsan och Vilan
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;147070032014;Läkarmottagning H Å Pettersson
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14707012016;Vårdcentralen Hälsan
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14707012019;Sävedalens Läkarmottagning 2019
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14707012546;Profytema Hälso o sjukvård 2546, Gu
HSN 22 Västra;Övriga privata vårdgivare;Helprivata läkare;14707032014;Barnläkarmottagning  H-Å Pettersson
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;1438910411;Läkarpraktik
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;1438910706;Anders Dahlqvist
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;1438910707;Gerhard Böttcher
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;14389304;Privata läkare fd HSN4
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;14389307;Privata läkare fd HSN7
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;1438930701;AstraZeneca
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;1438930702;Erik Svensson
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;14389322;Fritidsförskrivare Västra HSN
HSN 22 Västra;Övriga privata vårdgivare;Läkare, fritidsförskrivning;14389404;Förskrivare VGR fd HSN4
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438910716;Läkarkonsult i väst
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;14389204;Pensionerade läkare fd HSN4
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438920612;Bengt Eliasson
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;14389207;Pensionerade läkare fd HSN7
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438920701;Göran Cullberg
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438920702;Ulf Palm
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438920703;Ejnar Hansson
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;1438920704;Sven Reichmann
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;14389222;Pensionerade läkare Västra HSN
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare;14704012075;Snygg Anna-Klara, 2075
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920602;Helena Jeswani
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920603;Per Bååthe
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920604;Per Wiger
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920605;Christian Odgård
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920606;Klas-Åke Lindström
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920608;Anette Goffeng
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920610;Peggy Sonesson
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920611;Krister Kjell
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920614;Göran Lehtipalo
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920615;Magnus Hellblom
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920616;Tore Gilså
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920617;Christer Forsell
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920618;Klas Lindström
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920620;Bertil Hager
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920621;Lars-Olof Olsson
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920622;Monica Holmberg
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920623;Olof Wik
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920624;Marianne Fahlström
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920625;Gunnar Blomqvist
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920629;Ellinor Nielsen
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920630;Staffan Widegren
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920631;Staffan Ljungberg
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;1438920632;Peter Dalman
HSN 22 Västra;Övriga privata vårdgivare;Pensionerade läkare/tandläkare;14722112400;Art Clinic
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;1438132910014;Husläkare/Närsjukvården
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;143813291004;Husläkare
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;1438132922014;Angeredsakuten,  2000, privat
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;1438911;Hembesöksjouren Göteborg
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010006;Kungsportsläkarna, Einar Persson, 0
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010117;Ola Madsen, 0117
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010192;Centro Medico Läkarmottagn,Rios-Hip
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010202;Järnhälsan Christina Wallin
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010203;Järnhälsan, Lena Hallin
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010205;Carl-Peter Anderberg,0205, Kungspor
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010206;Järnhälsan Javad Kashani
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010207;Järnhälsan Ravi Nigam
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010208;Husläkarna Gårda
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010212;Järnhälsan/Christer Andersson
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010213;Järnhälsan
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010237;Husläkarna i Gårda, Medin Lars-Olof
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010532;Atle Wohrm ,0532
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010692;Per Pettersson
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010904;Biljouren 0904
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705010980;Nämnd 5,0980
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011301;Stadsmissionen Gatljus Vårdcentral
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011314;Slottsbergskliniken
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011318;Nämnd 5,1318
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011330;Västerledens VC,1330
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011338;Jarl Ahlberg,1338
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011341;VC Haga Annedal
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011342;Billdals Vårdcentral
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011345;Jan Bergström,1345
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011357;Paul Konopik,1357
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011362;Axess Akuten 1362
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011387;Conradi 1387
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011388;Curiac Ioan Dan
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011396;Capio Axessakuten/Läkare
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011397;Capio Axessakuten/Läkare2
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705011404;Järnhälsan Daniela Holm
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705012075;Nämnd 5,2075
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705012076;Maria Berner,2076
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705019292;Slottsbergskliniken
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705051310;Företagskliniken  1310, PE Näslund
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705080908;Föreningen Skyddsvärnet 0908
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14705300562;Avesina Diagnostik AB/mammografi
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14711011329;Backa läkarhus / Skalenius
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14711011331;Backa läkarhus/ Haghjoo
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14711011333;Alviva Närsjukvård Volvo  1333
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14711019999;HSN 11avslutade koder
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14712019999;Nämnd 12 avslutad kod
HSN 23 Göteborg;Avtal, allmänläk;Allmänmedicin;14723010193;Dr Danell /Göteborgs Läkarpraktik
HSN 23 Göteborg;Avtal, Lundby sjukhus;Anestesi och intensivvård;14711021531;Capio Lundby anestesi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Gynekologi;14711071531;Capio Lundby gynekologi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Hud;14711041531;Lundby sjukhus hud
HSN 23 Göteborg;Avtal, Lundby sjukhus;Internmedicin;1411161531;Lundby sjukhus dialys
HSN 23 Göteborg;Avtal, Lundby sjukhus;Internmedicin;14711051531;Capio Lundby internmedicin
HSN 23 Göteborg;Avtal, Lundby sjukhus;Internmedicin;14711161531;Capio Lundby dialys
HSN 23 Göteborg;Avtal, Lundby sjukhus;Internmedicin;14711321531;Capio Lundby njurmedicin
HSN 23 Göteborg;Avtal, Lundby sjukhus;Internmedicin;14711361531;Vaccinationsmottagningen Capio Lund
HSN 23 Göteborg;Avtal, Lundby sjukhus;Kirurgi;14711011531;Capio Lundby endoskopi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Kirurgi;14711061531;Capio Lundby kirurgi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Neurologi;14711121531;Lundby sjukhus neurologi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Ortopedi;14711111531;Capio Lundby ortopedi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Psykiatri;14711081531;Capio Lundby psykiatri
HSN 23 Göteborg;Avtal, Lundby sjukhus;Radiologi;14711131531;Lundby sjukhus, röntgen
HSN 23 Göteborg;Avtal, Lundby sjukhus;Urologi;14711181531;Capio Lundby urologi
HSN 23 Göteborg;Avtal, Lundby sjukhus;Ögon;14711091531;Capio Lundby ögon
HSN 23 Göteborg;Avtal, Lundby sjukhus;Öron- näs och hals;14711101531;Capio Lundby öron
HSN 23 Göteborg;Avtal, Läkarhuset;Allmänmedicin;1403351203;Laser för tand
HSN 23 Göteborg;Avtal, specialist läk;Anestesi och intensivvård;141362;Axess Akuten 1362
HSN 23 Göteborg;Avtal, specialist läk;Anestesi och intensivvård;14705181303;Läkarmottagning Karl-Henik Leissner
HSN 23 Göteborg;Avtal, specialist läk;Anestesi och intensivvård;14712011381;Sunniva
HSN 23 Göteborg;Avtal, specialist läk;Barnmedicin;14705030569;Eszter Fabian, Läkarhuset
HSN 23 Göteborg;Avtal, specialist läk;Barnmedicin;14705030628;Aleris AB/Barnmedicin
HSN 23 Göteborg;Avtal, specialist läk;Barnmedicin;14705031375;Ester Fabian 1375
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;1414705080980;CityAkuten
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14389105254;Van Raath Kliniken
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14389105255;Svenny Kopp Barnpsykriatri AB
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14389105256;Valentins Ryggklinik/Espen Amundsen
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14389105270;Ögonkliniken Syn Nordic AB/Siamak D
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070530;Avenykliniken 0530
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070531;Elisabeth Igelhammar ,0531
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070554;Anita Jones Hagstad,0554
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070627;Aleris AB/Gyn
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070649;Kvinnohälsan 0649
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070660;Gun-Marie Velinder Klacker,0660
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070702;Göteborgs Kvinnoklinik
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070722;Helen Wennerström,0722
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705070903;Barnmorskegruppen
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705071030;Nötkärnan MHV  _ Gyn/ Lars Brune
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14705071302;Suzanne Sinclair,1302
HSN 23 Göteborg;Avtal, specialist läk;Gynekologi;14712071335;Gynmottagning 1335
HSN 23 Göteborg;Avtal, specialist läk;Hud;1438132201044;Priva spec hud  vårdavtal
HSN 23 Göteborg;Avtal, specialist läk;Hud;14705040135;Dr Sten Forsman Hudmottagning
HSN 23 Göteborg;Avtal, specialist läk;Hud;14705040542;Hagaklinken Hud
HSN 23 Göteborg;Avtal, specialist läk;Hud;14705040999;Hudkliniken på Första Långgatan, kö
HSN 23 Göteborg;Avtal, specialist läk;Hud;14723041458;Derma Cure
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;1438132415054;Vasamottagningen/vårdavtal, invärte
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;1438132415064;Priv spec invärtesmedicin vårdavtal
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14705050518;Anne Charlotte Berglund,0518
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14705050630;Ava Rudin/Läkarhuset +7
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14705050714;Björn Lindholm 0714
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14705050742;Aleris AB/Internmedicin
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14705051316;ISM Patientmottagning
HSN 23 Göteborg;Avtal, specialist läk;Invärtesmedicin;14723051438;Aleris Närsjukvård
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060528;Josef Calek, Citykirurgen
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060549;Göteborgs Hand Center
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060584;Mikael Stiernstam, Läkarhuset
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060621;Bertil Philipsson
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060657;Urszula Urbanska-Szerypo
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060661;Järnhälsan
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060740;Aleris AB/Kirurgi
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060956;Mihailo Vukas
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705060993;Kirurgmottagningen Järnhälsan
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705061305;Stiftelsen Carlanderska Sjukhemmet,
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705061351;Art Clinic Sverige AB, Vårdsluss, 1
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705061353;Järnhälsan KB, Vårdsluss, 1353
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14705061401;Nacka Närsjukhus Proxima AB, Vårdsl
HSN 23 Göteborg;Avtal, specialist läk;Kirurgi;14723061438;Aleris Närsjukvård
HSN 23 Göteborg;Avtal, specialist läk;Neurologi;143813220112;Priv spec neurologi vårdavtal
HSN 23 Göteborg;Avtal, specialist läk;Neurologi;14705120536;Avesina Specialistvård AB/Neurologi
HSN 23 Göteborg;Avtal, specialist läk;Neurologi;14705120547;Martin Frizell, Läkarhuset
HSN 23 Göteborg;Avtal, specialist läk;Neurologi;14711120663;Bräcke Diakoni
HSN 23 Göteborg;Avtal, specialist läk;Neurologi;14723121438;Aleris Närsjukvård
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;140667;Carlanderska sjukhemmet
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;1438132201114;Priv spec ortopedi vårdavtal
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;1438132402114;Ortopedhuset - ortopedi
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;1438132403114;GMC ortopedi
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;1438910565;Ortho Center IFK-klinken
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705061306;Praktikertjänst, Vårdsluss, 1306, M
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705110606;Per-Erik Melberg,0606
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705110741;Aleris AB/Ortopedi
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111309;Movement Medical AB, Vårdsluss, 130
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111324;Ortopedhuset
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111352;Carema, Carlanderska, Perago
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111356;IFK kliniken Leif Swärd-Vårdsluss
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111402;Capio S:t Göran, Vårdsluss, 1402
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111403;Capio Axess Akuten AB, Vårdsluss, 1
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111415;Capio Läkargruppen i Örebro, Vårdsl
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111417;Capio Cityklinik Lund Vårdsluss
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111531;Capio Lundby Sjukhus, Vårdsluss, 15
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705111537;Capio Lundby Sjukhus AB, Vårdsluss
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;147051140000;Nämnd 5 ,spec11 ,avtal
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14705119001;Sergelkliniken, Göteborg
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;147111140000;Nämnd 11,spec 11,avtal
HSN 23 Göteborg;Avtal, specialist läk;Ortopedi;14723111438;Aleris Närsjukvård
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705010732;Länkarna PV/psyk 0732
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705080541;Bengt Eriksson ,0541
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705080598;WeMind Psykiatri
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705080711;Actavita RehabDialog AB/Imri Demisa
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705080733;Gbgs kyrkliga stadsmission/läkarmot
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705081040;Gbg kyrkliga stadsmission / läkarmo
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705081418;Järnhälsan KB, psykiatri+allmänmedi
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705081421;Svensk Hälsovårdsförvaltning AB
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14705081422;Tina-mottagningen
HSN 23 Göteborg;Avtal, specialist läk;Psykiatri;14712081531;Capio Lundby Sjukhus, Psykiatri, No
HSN 23 Göteborg;Avtal, specialist läk;Radiologi;14705131539;Unilabs AB Radiologi Väst
HSN 23 Göteborg;Avtal, specialist läk;Urologi;1438132405054;Studenthälsan-vård  PV/allm
HSN 23 Göteborg;Avtal, specialist läk;Urologi;1438132412154;Carlanderdialys
HSN 23 Göteborg;Avtal, specialist läk;Urologi;14705010907;Carlanderdialysen 0907
HSN 23 Göteborg;Avtal, specialist läk;Urologi;14705080509;Agro Care i Göteborg AB
HSN 23 Göteborg;Avtal, specialist läk;Urologi;14705181307;AgroCare i Göteborg AB, Vårdsluss,
